;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
3;2021-07-07 15:09:37;La Justicia convalidó la persecución que el kirchnerismo ejerce contra la familia Macri desde 2003. Primero incumpl… https://t.co/DEZzRy5Oqm;1293;2304;[];[];Buenos Aires, Argentina;Twitter Web App;República
4;2021-07-07 10:08:58;Opinião: Lobby com filho 04 mostra que República virou playground do clã Bolsonaro https://t.co/VV8HCrQZl6;1106;7566;[];[];Brasil;Zapier.com;República
5;2021-07-08 01:05:34;Olha a petulância e soberba desse sujeito. É investigado por desvio de milhões na saúde, ataca a todos com autorita… https://t.co/917idehTpq;1371;5925;[];[];Niterói - Rio de Janeiro;Twitter for iPhone;República
6;2021-07-07 22:31:38;Sempre uma honra participar da cerimônia de hasteamento da Bandeira Nacional e na presença do Presidente da Repúbli… https://t.co/DOgW7RcpeI;1368;9956;[];[];;Twitter for iPhone;República
7;2021-07-07 13:40:35;Lamentamos profundamente el fallecimiento del Presidente de la República de Haití, Jovenel Moïse. Condenamos enérgi… https://t.co/xuqnoc3qRI;2252;3525;[];[];Cuba;Twitter for Android;República
8;2021-07-08 03:15:14;Ejerciendo mis facultades Constitucionales como Presidente de la República, Jefe de Estado y Comandante en Jefe de… https://t.co/Mm5ed23pO3;1288;933;[];[];Venezuela;Twitter for Android;República
9;2021-07-07 14:03:19;"Itamar Montalvão: ""Impeachment de Bolsonaro será o triunfo da República; Mantê-lo no cargo sinaliza que tudo é perm… https://t.co/0KaaXKsO9N";286;2686;[];[];São Paulo;TweetDeck;República
10;2021-07-07 15:30:55;Un honor immens retrobar-vos i compartir a la Casa de la República una estona tan agradable, emocionant i sobretot… https://t.co/JLdPckhRos;1281;5434;[];[];Brussels, Belgium;Twitter for Android;República
11;2021-07-07 20:22:08;#COMUNICADO | El Presidente @NicolasMaduro en nombre del pueblo y gobierno venezolanos, expresa su pesar, solidarid… https://t.co/snc0FTfCEt;1002;780;['COMUNICADO'];['NicolasMaduro'];Caracas, cuna de Bolívar;Twitter for Android;República
12;2021-07-07 21:45:38;Después del desgarrador episodio de Eriksen y sus dos derrotas iniciales, golearon a Rusia, destrozaron a Gales, ve… https://t.co/U0xnX5b88P;876;6970;[];[];;Twitter Web App;República
13;2021-07-07 10:30:53;"#Haití: ""A la una de la mañana, 7 de julio, un grupo de personas no identificadas, que hablaban en español e inglés… https://t.co/SmbsyTHzov";306;493;['Haití'];[];República Dominicana;Twitter Web App;República
14;2021-07-08 00:02:28;Se as Forças Armadas não quisessem ser vistas com instituições corrompidas não deveriam ter se aliado a um governo… https://t.co/51ijDdjbNv;875;4873;[];[];Brasilia;Twitter for Android;República
15;2021-07-08 08:20:06;Garzón lucha contra el consumo de carne, menos en su boda donde hubo kilos de solomillos https://t.co/f5uGY6iuMF https://t.co/nfQs9fKjmz;1274;2844;[];[];Madrid;Echobox;República
1;2021-07-08 02:04:37;Lo que sucedió en Caracas hoy debería marcar un antes y después... ya basta de civiles muertos, basta de funcionari… https://t.co/4CtjTHotYA;6233;10124;[];[];Caracas, Venezuela;Twitter for Android;Caracas
2;2021-07-07 19:59:40;#Caracas En estos momentos se registra fuerte enfrentamiento en la Cota 905. Banda del Koki, Garbis y Vampi estaría… https://t.co/MeIVHAlnAK;1796;1679;['Caracas'];[];Caracas, Venezuela;Twitter for Android;Caracas
